2024-02-07 22:15:07,874   [  DEBUG     ] example log
2024-02-07 22:15:07,877   [  INFO      ] example log
2024-02-07 22:15:07,877   [  WARNING   ] example log
2024-02-07 22:15:07,878   [  ERROR     ] example log
2024-02-07 22:15:07,878   [  CRITICAL  ] example log
2024-02-07 23:19:55,727   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:19:55,727   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:19:55,728   [  INFO      ] | MainThread config.py 55 | Image path: 1
2024-02-07 23:19:55,729   [  INFO      ] | MainThread config.py 56 | screen resolution: (1920, 1080)
2024-02-07 23:19:55,729   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:20:11,417   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:20:11,417   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:21:28,510   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:21:28,511   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:22:58,080   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:22:58,080   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:22:58,081   [  CRITICAL  ] | MainThread config.py 20 | image_path should be of type str, current <class 'int'>
2024-02-07 23:24:50,625   [  DEBUG     ] | MainThread config.py 35 | ConfigMeta __call__ called
2024-02-07 23:24:50,627   [  DEBUG     ] | MainThread config.py 37 | Config already exists
2024-02-07 23:31:08,745   [  DEBUG     ] | MainThread config.py 37 | ConfigMeta __call__ called
2024-02-07 23:31:08,746   [  DEBUG     ] | MainThread config.py 39 | Config already exists
2024-02-07 23:33:54,864   [  DEBUG     ] | MainThread config.py 38 | ConfigMeta __call__ called
2024-02-07 23:33:54,864   [  DEBUG     ] | MainThread config.py 40 | Config already exists
2024-02-07 23:33:54,866   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:37:06,947   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:37:06,948   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:37:17,901   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
